S.no,WWR,AR,ORIN,OVERHANG,SHGC,ENERGY,,,
27349,0.05,2,51,39,0.59,102,,,
27350,0.05,2,51,45,0.59,102,,,
27351,0.05,2,51,2,0.26,102,,,
27352,0.05,2,51,7,0.26,102,,,
27353,0.05,2,51,12,0.26,102,,,
27354,0.05,2,51,18,0.26,102,,,
27355,0.05,2,51,23,0.26,102,,,
27356,0.05,2,51,28,0.26,102,,,
27357,0.05,2,51,34,0.26,102,,,
27358,0.05,2,51,39,0.26,102,,,
27359,0.05,2,51,45,0.26,102,,,
27391,0.05,3,51,23,0.2,102,,,
27392,0.05,3,51,28,0.2,102,,,
27393,0.05,3,51,34,0.2,102,,,
27394,0.05,3,51,39,0.2,102,,,
27395,0.05,3,51,45,0.2,102,,,
27430,0.05,3,51,39,0.26,102,,,
27431,0.05,3,51,45,0.26,102,,,
27483,0.05,3,51,34,0.24,102,,,
27484,0.05,3,51,39,0.24,102,,,
27485,0.05,3,51,45,0.24,102,,,
27537,0.05,3,51,34,0.26,102,,,
27538,0.05,3,51,39,0.26,102,,,
27539,0.05,3,51,45,0.26,102,,,
27933,0.14,1,51,34,0.2,102,,,
27934,0.14,1,51,39,0.2,102,,,
27935,0.14,1,51,45,0.2,102,,,
28025,0.14,1,51,45,0.24,102,,,
28079,0.14,1,51,45,0.26,102,,,
28115,0.14,2,51,45,0.2,102,,,
36000,0.05,1,68,2,0.37,102,,,
36001,0.05,1,68,7,0.37,102,,,
36002,0.05,1,68,12,0.37,102,,,
36003,0.05,1,68,18,0.37,102,,,
36004,0.05,1,68,23,0.37,102,,,
36005,0.05,1,68,28,0.37,102,,,
36006,0.05,1,68,34,0.37,102,,,
36007,0.05,1,68,39,0.37,102,,,
